#: table_doi: 10.17182/hepdata.167350.v2/t1
#: name: SI cross section
#: description: 90% CL WIMP SI cross sections, including sensitivities
#: data_file: LZ_WS2025_SI_limit.yaml
#: keyword reactions: chi N-> chi N
#: keyword observables: WIMP-nucleon cross section
#: keyword phrases: WIMP | spin-independent
mass,limit
3.0,2.109960836759407e-42
3.5,2.5159925340876324e-43
4.0,4.583811401349886e-44
4.5,1.3539744178249226e-44
5.0,4.606589133997426e-45
5.5,1.883608251794532e-45
6.0,9.358552235538168e-46
6.5,5.7432996174877045e-46
7.0,3.5743149586009706e-46
7.5,2.4051823982504194e-46
8.0,1.791701785874015e-46
8.5,1.3665638319819067e-46
9.0,1.1123992891974162e-46

mass,-2sigma
3.0,1.5857276153574122e-43
3.5,2.961473962763499e-44
4.0,9.030171046401482e-45
4.5,3.8201028203460597e-45
5.0,1.8276993462928463e-45
5.5,7.993308034437688e-46
6.0,4.070176175983345e-46
6.5,2.2360912583716193e-46
7.0,1.3297494940889578e-46
7.5,8.576249766752253e-47
8.0,5.919150049316113e-47
8.5,4.355482424859933e-47
9.0,3.5545153657788057e-47

mass,-1sigma
3.0,3.75183285789539e-43
3.5,6.195242314635826e-44
4.0,1.6580213122836224e-44
4.5,6.480724765150235e-45
5.0,2.7617406963019574e-45
5.5,1.23884648948262e-45
6.0,6.406724399407369e-46
6.5,3.674620686619736e-46
7.0,2.2700378126226022e-46
7.5,1.4020048238261778e-46
8.0,1.0469832138546877e-46
8.5,8.142843188348978e-47
9.0,6.181808119519941e-47

mass,median
3.0,9.450276189295662e-43
3.5,1.38126703662455e-43
4.0,3.5410319679685686e-44
4.5,1.2672858289604764e-44
5.0,5.494260794023094e-45
5.5,2.7076992740070816e-45
6.0,1.3675868468576688e-45
6.5,8.022314084141774e-46
7.0,5.0675968214770796e-46
7.5,3.498857566926504e-46
8.0,2.416549820194114e-46
8.5,1.8609278812034606e-46
9.0,1.5097689096119403e-46

mass,1sigma
3.0,2.3321768297323883e-42
3.5,3.2919626735397087e-43
4.0,8.392649361261529e-44
4.5,3.1173922219958027e-44
5.0,1.3546237677354515e-44
5.5,6.653544145789427e-45
6.0,3.523833596149638e-45
6.5,1.930509387310811e-45
7.0,1.1390424503526062e-45
7.5,7.447227947954323e-46
8.0,5.254926364650317e-46
8.5,3.8292978726222256e-46
9.0,3.0655913172873984e-46

mass,2sigma
3.0,4.7837160277150214e-42
3.5,6.1004128603945914e-43
4.0,1.3750355122865932e-43
4.5,5.331650992462544e-44
5.0,2.448998679028974e-44
5.5,1.1901866943510293e-44
6.0,5.734749764748965e-45
6.5,3.291634289475447e-45
7.0,1.9036251337830848e-45
7.5,1.2354860239318686e-45
8.0,8.858425845483195e-46
8.5,6.511487175182374e-46
9.0,4.945244764825409e-46

mass,median_3sigma_disco
3.0,5.3798457989627204e-42
3.5,6.838584646257011e-43
4.0,1.581132713640845e-43
4.5,5.98362257919107e-44
5.0,2.641710023241966e-44
5.5,1.2923827982390215e-44
6.0,6.493849833550785e-45
6.5,3.4405107648461885e-45
7.0,2.0301967003279202e-45
7.5,1.2606466157952078e-45
8.0,8.719629983278816e-46
8.5,6.416710555516401e-46
9.0,4.821840298092588e-46

